page_url	image_url	author	title	annotation	genre
https://www.biblio-globus.ru/product/10893177	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10893177.jpg	Айтматов Ч. 	Первый учитель	"В этот сборник вошли четыре повести Чингиза Айтматова: Первый учитель, Материнское поле, Белый пароход, Ранние журавли, посвященные трудной истории его родной Киргизии.
Повести, в которых бытовая, реалистическая часть..."	Классическая литература
https://www.biblio-globus.ru/product/10889045	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10889045.jpg	Гоголь Н.В., Достоевский Ф.М., Лесков Н.С. и др. 	Новогодние истории. Рассказы русских писателей (лимитированный дизайн)	По древним верованиям момент наступления нового года ненадолго стирает границу между миром живых и мертвых. В эту волшебную ночь творятся чудеса – люди грезят наяву, заглядывают в будущее и спорят с чертом, а главное - ждут,...	Классическая литература
https://www.biblio-globus.ru/product/10891646	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10891646.jpg	Стейнбек Дж. 	Квартал Тортилья-Флэт	"Произведение, посвященное колоритному миру трущоб калифорнийского города Монтерея 1930-х годов.

Читателю предстоит знакомство с очень необычными персонажами, потомками индейцев, мексиканцев и американцев. В основном они..."	Классическая литература
https://www.biblio-globus.ru/product/10891606	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10891606.jpg	Конецкий В.В. 	Среди мифов и рифов	«Среди мифов и рифов» — одна из самых веселых и лиричных книг Виктора Конецкого. Когда она впервые вышла в 1972 году, ею зачитывалась вся страна. Теперь «Среди мифов и рифов» по праву занимает место среди классических...	Классическая литература
https://www.biblio-globus.ru/product/10886646	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10886646.jpg	Андерсен Г.Х.	Забытые истории	Ханс Кристиан Андерсен всемирно известный датский писатель-классик, поэт, романист, драматург, автор путевых очерков и мемуаров. Однако главным в его творчестве были и остаются по сей день сказки и истории, вернее, сборники...	Классическая литература
https://www.biblio-globus.ru/product/10890513	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10890513.jpg	Лондон Дж. 	Мартин Иден	Выдающийся роман Джека Лондона о человеке из низов, простом моряке, добившемся успеха, о поиске места в жизни, муках творчества и муках любви. Герой этого, во многом автобиографичного произведения, проходит через тяжелые...	Классическая литература
https://www.biblio-globus.ru/product/10890524	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10890524.jpg	Гоголь Н.В. 	Тарас Бульба	Миргород Н.В. Гоголя по праву считается шедевром русской литературы. Вошедшие в его состав повести Тарас Бульба, Старосветские помещики. Вий, Как поссорился Иван Иванович с Иваном Никифоровичем составляют золотой фонд...	Классическая литература
https://www.biblio-globus.ru/product/10888971	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10888971.jpg	Диккенс Ч.	Жизнь Дэвида Копперфилда, рассказанная им самим	Знаменитый роман «Жизнь Дэвида Копперфилда» великого английского писателя Чарльза Диккенса снискал любовь и признание читателей во всем мире. Во многом автобиографичный, этот роман рассказывает о судьбе мальчика, вынужденного в...	Классическая литература
https://www.biblio-globus.ru/product/10887952	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10887952.jpg	Бронте Э. 	Агнес Грей	Агнес Грей – девушка независимая, сдержанная и серьезная.  Более того – она прирожденный педагог, который искренне желает чему-то научить своих питомцев и нисколько не страшится ради этого вступить в конфликт со...	Классическая литература
https://www.biblio-globus.ru/product/10885798	https://static1.bgshop.ru/imagehandler.ashx?width=200&filename=10885798.jpg	Сервантес Сааведра М., де	Дон Кихот	"Мигель де Сервантес Сааведра (1547–1616) — знаменитый испанский писатель, известный как автор одного из величайших произведений мировой литературы — романа «Хитроумный идальго Дон Кихот Ламанчский».

Роман «Дон Кихот»,..."	Классическая литература
